contract_id,contract_text,clause_type
398,This agreement contains a non-compete clause applicable to both parties and outlines obligations.,Non-Compete
399,This agreement contains a liability clause applicable to both parties and outlines obligations.,Liability
400,This agreement contains a non-compete clause applicable to both parties and outlines obligations.,Non-Compete
401,This agreement contains a payment clause applicable to both parties and outlines obligations.,Payment
402,This agreement contains a payment clause applicable to both parties and outlines obligations.,Payment
403,This agreement contains a payment clause applicable to both parties and outlines obligations.,Payment
404,This agreement contains a payment clause applicable to both parties and outlines obligations.,Payment
405,This agreement contains a liability clause applicable to both parties and outlines obligations.,Liability
406,This agreement contains a termination clause applicable to both parties and outlines obligations.,Termination
407,This agreement contains a payment clause applicable to both parties and outlines obligations.,Payment
408,This agreement contains a confidentiality clause applicable to both parties and outlines obligations.,Confidentiality
409,This agreement contains a liability clause applicable to both parties and outlines obligations.,Liability
410,This agreement contains a payment clause applicable to both parties and outlines obligations.,Payment
411,This agreement contains a confidentiality clause applicable to both parties and outlines obligations.,Confidentiality
412,This agreement contains a payment clause applicable to both parties and outlines obligations.,Payment
413,This agreement contains a termination clause applicable to both parties and outlines obligations.,Termination
414,This agreement contains a liability clause applicable to both parties and outlines obligations.,Liability
415,This agreement contains a termination clause applicable to both parties and outlines obligations.,Termination
416,This agreement contains a liability clause applicable to both parties and outlines obligations.,Liability
417,This agreement contains a payment clause applicable to both parties and outlines obligations.,Payment
418,This agreement contains a payment clause applicable to both parties and outlines obligations.,Payment
419,This agreement contains a liability clause applicable to both parties and outlines obligations.,Liability
420,This agreement contains a confidentiality clause applicable to both parties and outlines obligations.,Confidentiality
421,This agreement contains a confidentiality clause applicable to both parties and outlines obligations.,Confidentiality
422,This agreement contains a payment clause applicable to both parties and outlines obligations.,Payment
423,This agreement contains a payment clause applicable to both parties and outlines obligations.,Payment
424,This agreement contains a termination clause applicable to both parties and outlines obligations.,Termination
425,This agreement contains a payment clause applicable to both parties and outlines obligations.,Payment
426,This agreement contains a liability clause applicable to both parties and outlines obligations.,Liability
427,This agreement contains a confidentiality clause applicable to both parties and outlines obligations.,Confidentiality
428,This agreement contains a confidentiality clause applicable to both parties and outlines obligations.,Confidentiality
429,This agreement contains a termination clause applicable to both parties and outlines obligations.,Termination
430,This agreement contains a confidentiality clause applicable to both parties and outlines obligations.,Confidentiality
431,This agreement contains a confidentiality clause applicable to both parties and outlines obligations.,Confidentiality
432,This agreement contains a non-compete clause applicable to both parties and outlines obligations.,Non-Compete
433,This agreement contains a liability clause applicable to both parties and outlines obligations.,Liability
434,This agreement contains a non-compete clause applicable to both parties and outlines obligations.,Non-Compete
435,This agreement contains a confidentiality clause applicable to both parties and outlines obligations.,Confidentiality
436,This agreement contains a termination clause applicable to both parties and outlines obligations.,Termination
437,This agreement contains a termination clause applicable to both parties and outlines obligations.,Termination
438,This agreement contains a confidentiality clause applicable to both parties and outlines obligations.,Confidentiality
439,This agreement contains a payment clause applicable to both parties and outlines obligations.,Payment
440,This agreement contains a non-compete clause applicable to both parties and outlines obligations.,Non-Compete
441,This agreement contains a confidentiality clause applicable to both parties and outlines obligations.,Confidentiality
442,This agreement contains a termination clause applicable to both parties and outlines obligations.,Termination
443,This agreement contains a termination clause applicable to both parties and outlines obligations.,Termination
444,This agreement contains a non-compete clause applicable to both parties and outlines obligations.,Non-Compete
445,This agreement contains a liability clause applicable to both parties and outlines obligations.,Liability
446,This agreement contains a confidentiality clause applicable to both parties and outlines obligations.,Confidentiality
447,This agreement contains a confidentiality clause applicable to both parties and outlines obligations.,Confidentiality
448,This agreement contains a liability clause applicable to both parties and outlines obligations.,Liability
449,This agreement contains a non-compete clause applicable to both parties and outlines obligations.,Non-Compete
450,This agreement contains a non-compete clause applicable to both parties and outlines obligations.,Non-Compete
451,This agreement contains a termination clause applicable to both parties and outlines obligations.,Termination
452,This agreement contains a liability clause applicable to both parties and outlines obligations.,Liability
453,This agreement contains a non-compete clause applicable to both parties and outlines obligations.,Non-Compete
454,This agreement contains a payment clause applicable to both parties and outlines obligations.,Payment
455,This agreement contains a confidentiality clause applicable to both parties and outlines obligations.,Confidentiality
456,This agreement contains a termination clause applicable to both parties and outlines obligations.,Termination
457,This agreement contains a liability clause applicable to both parties and outlines obligations.,Liability
458,This agreement contains a termination clause applicable to both parties and outlines obligations.,Termination
459,This agreement contains a non-compete clause applicable to both parties and outlines obligations.,Non-Compete
460,This agreement contains a non-compete clause applicable to both parties and outlines obligations.,Non-Compete
461,This agreement contains a payment clause applicable to both parties and outlines obligations.,Payment
462,This agreement contains a confidentiality clause applicable to both parties and outlines obligations.,Confidentiality
463,This agreement contains a liability clause applicable to both parties and outlines obligations.,Liability
464,This agreement contains a termination clause applicable to both parties and outlines obligations.,Termination
465,This agreement contains a confidentiality clause applicable to both parties and outlines obligations.,Confidentiality
466,This agreement contains a non-compete clause applicable to both parties and outlines obligations.,Non-Compete
467,This agreement contains a confidentiality clause applicable to both parties and outlines obligations.,Confidentiality
468,This agreement contains a termination clause applicable to both parties and outlines obligations.,Termination
469,This agreement contains a confidentiality clause applicable to both parties and outlines obligations.,Confidentiality
470,This agreement contains a non-compete clause applicable to both parties and outlines obligations.,Non-Compete
471,This agreement contains a confidentiality clause applicable to both parties and outlines obligations.,Confidentiality
472,This agreement contains a liability clause applicable to both parties and outlines obligations.,Liability
473,This agreement contains a confidentiality clause applicable to both parties and outlines obligations.,Confidentiality
474,This agreement contains a liability clause applicable to both parties and outlines obligations.,Liability
475,This agreement contains a confidentiality clause applicable to both parties and outlines obligations.,Confidentiality
476,This agreement contains a non-compete clause applicable to both parties and outlines obligations.,Non-Compete
477,This agreement contains a payment clause applicable to both parties and outlines obligations.,Payment
478,This agreement contains a payment clause applicable to both parties and outlines obligations.,Payment
479,This agreement contains a liability clause applicable to both parties and outlines obligations.,Liability
480,This agreement contains a liability clause applicable to both parties and outlines obligations.,Liability
481,This agreement contains a payment clause applicable to both parties and outlines obligations.,Payment
482,This agreement contains a non-compete clause applicable to both parties and outlines obligations.,Non-Compete
483,This agreement contains a non-compete clause applicable to both parties and outlines obligations.,Non-Compete
484,This agreement contains a confidentiality clause applicable to both parties and outlines obligations.,Confidentiality
485,This agreement contains a liability clause applicable to both parties and outlines obligations.,Liability
486,This agreement contains a non-compete clause applicable to both parties and outlines obligations.,Non-Compete
487,This agreement contains a termination clause applicable to both parties and outlines obligations.,Termination
488,This agreement contains a confidentiality clause applicable to both parties and outlines obligations.,Confidentiality
489,This agreement contains a confidentiality clause applicable to both parties and outlines obligations.,Confidentiality
490,This agreement contains a payment clause applicable to both parties and outlines obligations.,Payment
491,This agreement contains a liability clause applicable to both parties and outlines obligations.,Liability
492,This agreement contains a non-compete clause applicable to both parties and outlines obligations.,Non-Compete
493,This agreement contains a non-compete clause applicable to both parties and outlines obligations.,Non-Compete
494,This agreement contains a confidentiality clause applicable to both parties and outlines obligations.,Confidentiality
495,This agreement contains a liability clause applicable to both parties and outlines obligations.,Liability
496,This agreement contains a liability clause applicable to both parties and outlines obligations.,Liability
497,This agreement contains a liability clause applicable to both parties and outlines obligations.,Liability
498,This agreement contains a payment clause applicable to both parties and outlines obligations.,Payment
499,This agreement contains a non-compete clause applicable to both parties and outlines obligations.,Non-Compete
500,This agreement contains a liability clause applicable to both parties and outlines obligations.,Liability
